scheme_name,Alpha,Beta,R_squared
SBI Small Cap Fund - Regular Plan - Growth,0.3033696538698332,-0.023196062044059704,0.00014142575502721724
DSP Small Cap Fund - Regular - Growth,0.3005787817097677,0.01145515996052069,3.5329906267955544e-05
ICICI Pru Midcap Fund - Regular - Growth,0.2926358334175106,0.0005490042506317449,1.345534167567047e-07
Mirae Asset Tax Saver Fund - Regular - Growth,0.2827036785246582,0.018133884083859235,0.00017488886568129544
Kotak Flexicap Fund - Regular - Growth,0.27330465038306057,-0.022829569792426525,0.00034305434271514427
HDFC Mid-Cap Opportunities Fund - Regular - Growth,0.2719535450128533,0.005103525830528337,1.206652063506829e-05
Mirae Asset Large Cap Fund - Regular - Growth,0.2698375144191807,0.02368355807584861,0.0004625436906623841
DSP Midcap Fund - Regular - Growth,0.26598577542043045,-0.0025230046646992337,3.3579781920088248e-06
Axis Midcap Fund - Regular - Growth,0.2607666908004223,-0.06626542862803755,0.0019368789369602314
SBI Bluechip Fund - Regular Plan - Growth,0.23201007160635082,-0.03175144113890971,0.0008869788879322803
Nippon India Large Cap Fund - Regular - Growth,0.21829397904608644,-0.008353832126962009,5.791756270127817e-05
ABSL Frontline Equity Fund - Regular - Growth,0.21399784776051212,0.021086316250128023,0.00034804820307142496
ICICI Pru Bluechip Fund - Direct - Growth,0.2119482701352573,0.016232169761417017,0.00021216129075887503
Mirae Asset Emerging Bluechip Fund - Regular - Growth,0.20873010086942337,-0.02638771994384301,0.00048592647527973193
SBI Bluechip Fund - Direct Plan - Growth,0.1986859936686296,-0.026159307513513384,0.0005850821704543419
HDFC Top 100 Fund - Direct Plan - Growth,0.17729754927531766,0.04882040425957737,0.0018401792783071574
ICICI Pru Bluechip Fund - Regular - Growth,0.17703302365844073,-0.0402689523698206,0.0013974446083318615
Nippon India Small Cap Fund - Regular - Growth,0.1750072167561127,0.10349663691337586,0.0027930065610663234
UTI Nifty 50 Index Fund - Regular - Growth,0.17048756803412696,-0.019486785689474557,0.0003828503073092394
ICICI Pru Value Discovery Fund - Regular - Growth,0.1625385327998104,0.041896462728119775,0.0012571178108220747
UTI Flexi Cap Fund - Regular - Growth,0.16211256794033255,0.016682689437770792,0.00018619166432850095
Nippon India Large Cap Fund - Direct - Growth,0.15643835948169668,-0.03663900671860934,0.0011382947171084277
Nippon India ETF Nifty 50 BeES,0.1513635464823924,-0.0014335213897801193,2.0253408972328044e-06
DSP Top 100 Equity Fund - Regular - Growth,0.13173190226099432,-0.004050271130006496,1.3227607880850222e-05
Kotak Bluechip Fund - Regular - Growth,0.13042924450705445,0.03635639902219978,0.0012113711061211858
HDFC Mid-Cap Opportunities Fund - Direct - Growth,0.11989100971217971,0.009054412621739168,4.043746553634258e-05
ABSL Small Cap Fund - Regular - Growth,0.10897091901704538,-0.06528924788351521,0.0010641052735572613
Axis Bluechip Fund - Direct - Growth,0.08232801295222093,0.02588321244009314,0.0005692038090244868
Kotak Emerging Equity Fund - Regular - Growth,0.0780443887615508,0.01805687420811816,0.00016915548838314365
Axis Bluechip Fund - Regular - Growth,0.0689952982167755,0.009730745001153627,8.082637693810757e-05
ICICI Pru Liquid Fund - Regular - Growth,0.06746210411099539,-0.0004440926329707233,0.00013430661440679868
Kotak Liquid Fund - Regular - Growth,0.06455677495375998,-0.00040074423947840057,0.00010125435692271745
ABSL Liquid Fund - Regular - Growth,0.060861457957871144,0.00026670968338238346,4.607623677105203e-05
SBI Magnum Gilt Fund - Regular Plan - Growth,0.05620895216638369,-0.006413850728276474,0.00043426033217200497
Nippon India Gilt Securities Fund - Regular - Growth,0.05074772999976104,0.0012566742731558488,1.6516652310332824e-05
SBI Small Cap Fund - Direct Plan - Growth,0.048824215945539845,0.06200180438267165,0.0010259205326765954
Axis Small Cap Fund - Regular - Growth,0.04801595363775955,-0.06695117463929198,0.0011851593464486715
HDFC Short Term Debt Fund - Regular - Growth,0.042817920315060876,0.0011582183155281413,1.4612842041844905e-05
HDFC Top 100 Fund - Regular Plan - Growth,0.03747580763443281,-0.0582684314388089,0.0026650326981333223
UTI Mid Cap Fund - Regular - Growth,0.02896939786637944,-0.04212502902189431,0.0008964294600687574
